CODICESCUOLA,ORDINESCUOLA,AREAGEOGRAFICA,DENOMINAZIONEISTITUTORIFERIMENTO,PROVINCIA,DENOMINAZIONESCUOLA,INDIRIZZOSCUOLA,LONG_X_4326,LAT_Y_4326,Total
MIEE8D901A,SCUOLA PRIMARIA,NORD OVEST,I.C. BONVESIN DE LA RIVA,MILANO,PRIMARIA E. DE AMICIS,VIA RATTI N?1,8.9193599,45.5921666,203
MIEE8D902B,SCUOLA PRIMARIA,NORD OVEST,I.C. BONVESIN DE LA RIVA,MILANO,PRIMARIA DON MILANI,VIA BISSOLATI 15,8.9274459,45.5894729,199
MIEE8DA01Q,SCUOLA PRIMARIA,NORD OVEST,IC LEONE TOLSTOJ,MILANO,PRIMARIA VIA ZUARA,VIA ZUARA 9,9.149418,45.456885,468
MIEE8DB01G,SCUOLA PRIMARIA,NORD OVEST,IC DON MILANI,MILANO,PRIMARIA DON MILANI,VIA BARANZATE 8,9.1325315,45.5310403,399
MIEE8DD017,SCUOLA PRIMARIA,NORD OVEST,I.C. FRANCESCO CAPPELLI,MILANO,PRIMARIA CASA DEL SOLE,VIA GIACOSA 46,9.221643249,45.49484067,543
MIEE8DD028,SCUOLA PRIMARIA,NORD OVEST,I.C. FRANCESCO CAPPELLI,MILANO,PRIMARIA E. PIMENTEL V. RUSSO,VIA RUSSO 27,9.141882055,45.4842418,298
MIEE8DE013,SCUOLA PRIMARIA,NORD OVEST,IST. OMNICOMPRENSIVO MUSICALE,MILANO,PRIMARIA CUOCO-SASSI,VIA CORRIDONI 34-36,9.203841,45.463536,383
MIEE8DF01V,SCUOLA PRIMARIA,NORD OVEST,IC SANDRO PERTINI,MILANO,PRIMARIA SANDRO PERTINI,VIA THOMAS MANN 8,9.208602,45.523962,198
MIEE8DF031,SCUOLA PRIMARIA,NORD OVEST,IC SANDRO PERTINI,MILANO,PRIMARIA G.B. PIRELLI,VIA GOFFREDO DA BUSSERO 9,9.2059875,45.518841,276
MIEE8DG01P,SCUOLA PRIMARIA,NORD OVEST,IC ARBE ZARA,MILANO,PRIMARIA S.T. FABBRI,VIALE ZARA 96,9.1955925,45.496548,426
MIEE8DG03R,SCUOLA PRIMARIA,NORD OVEST,IC ARBE ZARA,MILANO,PRIMARIA C.POERIO,VIA PIANELL 40,9.2034315,45.507897,346
MIEE8DK01X,SCUOLA PRIMARIA,NORD OVEST,IC VILLA CORTESE,MILANO,PRIMARIA G.PINCIROLI,VIA S. GRATO,8.8852413,45.5705281,231
MIEE8DK021,SCUOLA PRIMARIA,NORD OVEST,IC VILLA CORTESE,MILANO,PRIMARIA DON BOSCO,VIA SUOR CHIARA TRIBOLO,8.8619472,45.5668403,296
MIEE8DL01Q,SCUOLA PRIMARIA,NORD OVEST,IC G. TARRA,MILANO,PRIMARIA G. TARRA,VIA XXV APRILE 24,8.8837555,45.548883,272
MIEE8DL02R,SCUOLA PRIMARIA,NORD OVEST,IC G. TARRA,MILANO,PRIMARIA DON M. MENTASTI,PIAZZALE PARTIGIANI D'ITALIA,8.8901502,45.5526667,180
MIEE8DL03T,SCUOLA PRIMARIA,NORD OVEST,IC G. TARRA,MILANO,PRIMARIA FERRAZZI COVA,VIA S.GELTRUDE 38,8.8578835,45.5534802,77
MIEE8DQ01E,SCUOLA PRIMARIA,NORD OVEST,I.C. LOCATELLI-QUASIMODO,MILANO,PRIMARIA G.RODARI,VIA BOTTELLI 3,9.210474,45.503073,208
MIEE8DQ02G,SCUOLA PRIMARIA,NORD OVEST,I.C. LOCATELLI-QUASIMODO,MILANO,PRIMARIA LOCATELLI,VIA VEGLIA 80,9.1964205,45.502839,277
MIEE8DR01A,SCUOLA PRIMARIA,NORD OVEST,IC PASQUALE SOTTOCORNO,MILANO,PRIMARIA P.SOTTOCORNO,VIA MONTE PIANA 11,9.247068,45.430731,355
MIEE8DS01G,SCUOLA PRIMARIA,NORD OVEST,IC PRIMO LEVI,MILANO,PRIMARIA CARLA FRACCI,VIA ANSELMO DA BAGGIO 58/60,9.087246,45.464076,281
MIEE8DU017,SCUOLA PRIMARIA,NORD OVEST,IC R. PEZZANI,MILANO,PRIMARIA VIA MARTINENGO,VIA MARTINENGO36,9.2284335,45.442737,440
MIEE8DU028,SCUOLA PRIMARIA,NORD OVEST,IC R. PEZZANI,MILANO,PRIMARIA VIALE PUGLIE,VIALE PUGLIE 4,9.2244735,45.444978,350
MIEE8DV013,SCUOLA PRIMARIA,NORD OVEST,IC FRANCESCHI,MILANO,PRIMARIA MURATORI E MENOTTI,VIA E.MUZIO 5,9.200295612,45.49075474,344
MIEE8DW01V,SCUOLA PRIMARIA,NORD OVEST,I.C. VIA DE ANDREIS,MILANO,PRIMARIA S.QUASIMODO,VIA MEZZOFANTI 23,9.234918,45.464121,323
MIEE8DW031,SCUOLA PRIMARIA,NORD OVEST,I.C. VIA DE ANDREIS,MILANO,PRIMARIA V. DEC.AL VALOR CIVILE,VIA DEC.AL VALOR CIVILE 10,9.241344,45.460503,204
MIEE8DW042,SCUOLA PRIMARIA,NORD OVEST,I.C. VIA DE ANDREIS,MILANO,PRIMARIA VIA MELERI,VIA MELERI 14,9.247522289,45.45657798,195
MIEE8DY01E,SCUOLA PRIMARIA,NORD OVEST,IC S.AMBROGIO,MILANO,PRIMARIA DE NICOLA,VIA DE NICOLA 2,9.154341,45.43083,210
MIEE8DY02G,SCUOLA PRIMARIA,NORD OVEST,IC S.AMBROGIO,MILANO,PRIMARIA SAN PAOLINO,VIA DE NICOLA 40,9.1591965,45.430146,126
MIEE8DY03L,SCUOLA PRIMARIA,NORD OVEST,IC S.AMBROGIO,MILANO,PRIMARIA G.FERRARIS,VIA BARONA 70,9.1478745,45.432189,111
MIEE8DZ01A,SCUOLA PRIMARIA,NORD OVEST,IC. ILARIA ALPI,MILANO,PRIMARIA SANDRO PERTINI,VIA SALERNO 3,9.147537,45.437832,321
MIEE8DZ02B,SCUOLA PRIMARIA,NORD OVEST,IC. ILARIA ALPI,MILANO,PRIMARIA TRE CASTELLI,VIA BALSAMO CRIVELLI 3,9.1375155,45.439083,222
MIEE8DZ03C,SCUOLA PRIMARIA,NORD OVEST,IC. ILARIA ALPI,MILANO,PRIMARIA G.CASATI,VIA S.COLOMBANO 8,9.126666,45.438651,86
MIEE8DZ05E,SCUOLA PRIMARIA,NORD OVEST,IC. ILARIA ALPI,MILANO,PRIMARIA PLESSO MONTESSORI,VIA SAN COLOMBANO 8,9.126666,45.438651,87
MIEE8E3023,SCUOLA PRIMARIA,NORD OVEST,IC G.UNGARETTI,MILANO,PRIMARIA VIALE GAVAZZI,VIALE GAVAZZI,9.4237417,45.5065245,506
MIEE8E401T,SCUOLA PRIMARIA,NORD OVEST,IC MARGHERITA HACK,MILANO,PRIMARIA VIA MANZONI,VIA MANZONI 2,9.3312549,45.5277953,520
MIEE8E402V,SCUOLA PRIMARIA,NORD OVEST,IC MARGHERITA HACK,MILANO,PRIMARIA LARGO MARTINI,LARGO CARDINAL MARTINI,9.5012328,45.5717235,326
MIEE8E501N,SCUOLA PRIMARIA,NORD OVEST,I.C. RITA LEVI MONTALCINI,MILANO,PRIMARIA DON MILANI,VIA DON MILANI,9.2277358,45.3597098,340
MIEE8E502P,SCUOLA PRIMARIA,NORD OVEST,I.C. RITA LEVI MONTALCINI,MILANO,PRIMARIA MOSE' BIANCHI,VIA MOSE' BIANCHI,9.3241819,45.5236613,384
MIEE8E601D,SCUOLA PRIMARIA,NORD OVEST,I.C. MOLINO VECCHIO,MILANO,PRIMARIA MOLINO VECCHIO,VIA MOLINO VECCHIO 19,9.4112311,45.5306906,409
MIEE8E7019,SCUOLA PRIMARIA,NORD OVEST,I.C. TIZIANO TERZANI,MILANO,PRIMARIA FRATELLI DI DIO,VIA FRATELLI DI DIO 1,8.9117816,45.4079915,400
MIEE8E702A,SCUOLA PRIMARIA,NORD OVEST,I.C. TIZIANO TERZANI,MILANO,PRIMARIA PIAZZA NEGRI,PIAZZA NEGRI,8.9096738,45.4257982,110
MIEE8E8015,SCUOLA PRIMARIA,NORD OVEST,I.C. ALDO MORO,MILANO,PRIMARIA G. FALCONE F. MORVILLO,VIA PAVESE 3,8.9251208,45.3662597,91
MIEE8E8026,SCUOLA PRIMARIA,NORD OVEST,I.C. ALDO MORO,MILANO,PRIMARIA A. MORO,VIA COLOMBO 10/12,8.9228113,45.39695,382
MIEE8E9011,SCUOLA PRIMARIA,NORD OVEST,I.C. VIA PALESTRO,MILANO,PRIMARIA U. E M. DI SAVOIA,VIALE SERAFINO DELL'UOMO 44,8.9140849,45.3966604,503
MIEE8EA01A,SCUOLA PRIMARIA,NORD OVEST,IC GIOSUE' CARDUCCI,MILANO,PRIMARIA G. CARDUCCI,VIA XX SETTEMBRE 2,8.9056206,45.5916538,187
MIEE8EA02B,SCUOLA PRIMARIA,NORD OVEST,IC GIOSUE' CARDUCCI,MILANO,PRIMARIA A. TOSCANINI,VIA PARMA 66,8.898584,45.5838365,203
MIEE8EA03C,SCUOLA PRIMARIA,NORD OVEST,IC GIOSUE' CARDUCCI,MILANO,PRIMARIA GRAZIA DELEDDA,VIA PARMA 75,8.8950916,45.5819876,184
MIEE8EB016,SCUOLA PRIMARIA,NORD OVEST,IC EUROPA UNITA,MILANO,PRIMARIA EUROPA UNITA,VIA VARZI 13/1,9.0638682,45.5550082,413
MIEE8EC012,SCUOLA PRIMARIA,NORD OVEST,IC DON GNOCCHI,MILANO,PRIMARIA G.PASCOLI,VIA COL DI LANA 7/1,9.0799795,45.5517522,267
MIEE8EC023,SCUOLA PRIMARIA,NORD OVEST,IC DON GNOCCHI,MILANO,PRIMARIA DON C.GNOCCHI,VIA DEI GELSI 1,9.0751578,45.5569897,203
MIEE8ED01T,SCUOLA PRIMARIA,NORD OVEST,IC A. ROSMINI,MILANO,PRIMARIA MARCO POLO,VIA GALIMBERTI 14,9.1005071,45.5428645,218
MIEE8ED02V,SCUOLA PRIMARIA,NORD OVEST,IC A. ROSMINI,MILANO,PRIMARIA ANTONIO ROSMINI,VIA DIAZ 44,9.1191745,45.5406593,403
MIEE8EE01N,SCUOLA PRIMARIA,NORD OVEST,I.C. MONTESSORI,MILANO,PRIMARIA MONTESSORI,VIA MONTESSORI 10,9.1244534,45.5463312,479
MIEE8EF01D,SCUOLA PRIMARIA,NORD OVEST,IC PADRE PINO PUGLISI,MILANO,PRIMARIA VIA ALDO MORO,VIA ALDO MORO 14,9.1265141,45.4181982,418
MIEE8EF02E,SCUOLA PRIMARIA,NORD OVEST,IC PADRE PINO PUGLISI,MILANO,PRIMARIA ROBARELLO,VIA DEGLI ALPINI 48/A,9.1210857,45.4326701,112
MIEE8EG019,SCUOLA PRIMARIA,NORD OVEST,IC RITA LEVI MONTALCINI,MILANO,PRIMARIA MARIA RAVIZZINI,VIA MASCHERPA 14,9.4125405,45.4198997,281
MIEE8EG02A,SCUOLA PRIMARIA,NORD OVEST,IC RITA LEVI MONTALCINI,MILANO,PRIMARIA I MAGGIO,VIA LIGURIA 2,9.1064517,45.4210331,294
MIEE8EH015,SCUOLA PRIMARIA,NORD OVEST,IC ALESSANDRO VOLTA,MILANO,PRIMARIA PASCOLI,VIA PASCOLI,9.2901038,45.5324281,271
MIEE8EH026,SCUOLA PRIMARIA,NORD OVEST,IC ALESSANDRO VOLTA,MILANO,PRIMARIAVESPUCCI,VIA VESPUCCI23,9.2877006,45.5265623,260
MIEE8EJ01A,SCUOLA PRIMARIA,NORD OVEST,IC VIALE LOMBARDIA,MILANO,PRIMARIA V.LE LOMBARDIA,V.LE LOMBARDIA 24,9.2753241,45.5363004,245
MIEE8EJ02B,SCUOLA PRIMARIA,NORD OVEST,IC VIALE LOMBARDIA,MILANO,PRIMARIA UGO FOSCOLO,VIA DELLA REPUBBLICA 48,9.2698752,45.5458008,240
MIEE8EK016,SCUOLA PRIMARIA,NORD OVEST,I.C. KAROL WOJTYLA,MILANO,PRIMARIA KAROL WOJTYLA,LARGO MONS. GERVASONI 1,9.1657471,45.4690473,453
MIEE8EK027,SCUOLA PRIMARIA,NORD OVEST,I.C. KAROL WOJTYLA,MILANO,PRIMARIA QUINTO PROFILI,VIA STELVIO 10,9.0600757,45.5745205,133
MIEE8EL012,SCUOLA PRIMARIA,NORD OVEST,IC FUTURA,MILANO,PRIMARIA ALDO MORO,VIA PASUBIO 33,9.0765863,45.5688208,68
MIEE8EL023,SCUOLA PRIMARIA,NORD OVEST,IC FUTURA,MILANO,PRIMARIA SALVADOR ALLENDE,VIA MILANO 127,9.0848205,45.5691944,212
MIEE8EL034,SCUOLA PRIMARIA,NORD OVEST,IC FUTURA,MILANO,PRIMARIA ANTONIO GRAMSCI,VIA CERESIO 32,9.0743724,45.5651083,149
MIEE8EM01T,SCUOLA PRIMARIA,NORD OVEST,IC G. CAVALCANTI,MILANO,PRIMARIA G.CAVALCANTI,VIA CAVALCANTI 11,9.29079,45.40113,399
MIEE8EM02V,SCUOLA PRIMARIA,NORD OVEST,IC G. CAVALCANTI,MILANO,PRIMARIA G. RODARI,VIA GOGOL 9,9.2982938,45.3878583,371
MIEE8EN01N,SCUOLA PRIMARIA,NORD OVEST,IC XXV APRILE,MILANO,PRIMARIA A.MANZONI,VIA BECCARIA 13,9.1747105,45.5381661,223
MIEE8EN02P,SCUOLA PRIMARIA,NORD OVEST,IC XXV APRILE,MILANO,PRIMARIA XXV APRILE,VIA MOLINAZZO 35,9.1682433,45.5408887,371
MIEE8EP019,SCUOLA PRIMARIA,NORD OVEST,I.C. LEONARDO DA VINCI,MILANO,PRIMARIA M.TERESA DI CALCUTTA,VIA DI VITTORIO,9.1302239,45.5709431,95
MIEE8EP02A,SCUOLA PRIMARIA,NORD OVEST,I.C. LEONARDO DA VINCI,MILANO,PRIMARIA G. MARCONI,VIA PADOVA 27,9.1403813,45.5810832,194
MIEE8EQ015,SCUOLA PRIMARIA,NORD OVEST,IC GOBETTI,MILANO,PRIMARIA VIA MANZONI,VIA MANZONI 13,9.061241,45.4263254,212
MIEE8EQ026,SCUOLA PRIMARIA,NORD OVEST,IC GOBETTI,MILANO,PRIMARIA MAURO BRUTTO,VIA MALIBRAN 2,9.0538449,45.4254078,291
MIEE8ER011,SCUOLA PRIMARIA,NORD OVEST,IC MARCO POLO,MILANO,PRIMARIA CAD.DISPERSI SENAGHESI,VIA REPUBBLICA 6,9.1174258,45.574821,281
MIEE8ER022,SCUOLA PRIMARIA,NORD OVEST,IC MARCO POLO,MILANO,PRIMARIA A.MANZONI,VIA LIBERAZIONE 23,9.1298491,45.5817254,291
MIEE8ES016,SCUOLA PRIMARIA,NORD OVEST,IC E. ALESSANDRINI,MILANO,PRIMARIA BRAMANTE,VIA BRAMANTE 5,9.099041,45.4444934,198
MIEE8ES027,SCUOLA PRIMARIA,NORD OVEST,IC E. ALESSANDRINI,MILANO,PRIMARIA P. GOBETTI,VIA GOBETTI 2,9.0844063,45.4347071,98
MIEE8ES038,SCUOLA PRIMARIA,NORD OVEST,IC E. ALESSANDRINI,MILANO,PRIMARIA D. ALIGHIERI,VIA KENNEDY 6,9.0932837,45.4457355,271
MIEE8ET012,SCUOLA PRIMARIA,NORD OVEST,IC LEONARDO DA VINCI,MILANO,PRIMARIA G. MATTEOTTI,VIA LIBERTA' 19,9.0868629,45.4462858,190
MIEE8ET023,SCUOLA PRIMARIA,NORD OVEST,IC LEONARDO DA VINCI,MILANO,PRIMARIA MONACA,VIA VESPUCCI 11,9.0869393,45.4428082,176
MIEE8EU01T,SCUOLA PRIMARIA,NORD OVEST,I.C.BREDA,MILANO,PRIMARIA M.GALLI,VIA PODGORA 161,9.2295978,45.5422952,492
MIEE8F0015,SCUOLA PRIMARIA,NORD OVEST,I.C. VIA GATTAMELATA,MILANO,PRIMARIA PIETRO MICCA,VIA GATTAMELATA 35,9.151875,45.483813,636
MIEE8F1011,SCUOLA PRIMARIA,NORD OVEST,IC F. S. CABRINI,MILANO,PRIMARIA F.S.CABRINI,VIA DELLE FORZE ARMATE 65,9.1297485,45.462906,597
MIEE8F201R,SCUOLA PRIMARIA,NORD OVEST,I.C. VIA LINNEO,MILANO,PRIMARIA F. APORTI,VIA MANTEGNA 10,9.167985,45.483525,403
MIEE8F202T,SCUOLA PRIMARIA,NORD OVEST,I.C. VIA LINNEO,MILANO,PRIMARIA P.MOSCATI E B.M.SFORZA,VIA MOSCATI 1,9.1689885,45.478998,318
MIEE8F301L,SCUOLA PRIMARIA,NORD OVEST,IC DE MARCHI,MILANO,PRIMARIA E. DE MARCHI,VIA IV NOVEMBRE 49,9.1621556,45.5646635,447
MIEE8F302N,SCUOLA PRIMARIA,NORD OVEST,IC DE MARCHI,MILANO,PRIMARIA E. CURIEL,VIA TRIESTE,9.1598635,45.5593417,190
MIEE8FA011,SCUOLA PRIMARIA,NORD OVEST,IC VIA LIBERTA',MILANO,PRIMARIA G.MATTEOTTI,VIA DELLA LIBERTA' 24,9.2631984,45.4164853,281
MIEE8FA022,SCUOLA PRIMARIA,NORD OVEST,IC VIA LIBERTA',MILANO,PRIMARIA G.MAZZINI,VIA KENNEDY 15,9.2642892,45.430128,263
MIEE8FA033,SCUOLA PRIMARIA,NORD OVEST,IC VIA LIBERTA',MILANO,PRIMARIA M.LUTHER KING,VIA DI VITTORIO 48,9.266611,45.4048058,158
MIEE8FB01R,SCUOLA PRIMARIA,NORD OVEST,I.C. MARGHERITA HACK,MILANO,PRIMARIA SALVO D'ACQUISTO,VIA EUROPA 4,9.33724,45.39963,356
MIEE8FB02T,SCUOLA PRIMARIA,NORD OVEST,I.C. MARGHERITA HACK,MILANO,PRIMARIA POASCO,VIA UNICA POASCO 1,9.2318164,45.4010866,98
MIEE8FB03V,SCUOLA PRIMARIA,NORD OVEST,I.C. MARGHERITA HACK,MILANO,PRIMARIA M.GREPPI,VIA M. GREPPI 13,9.2690939,45.4063544,95
MIEE8FC01L,SCUOLA PRIMARIA,NORD OVEST,I.C. BAROZZI BELTRAMI,MILANO,PRIMARIA VIA DEI GAROFANI,VIA DEI GAROFANI,9.1584137,45.3851206,332
MIEE8FC02N,SCUOLA PRIMARIA,NORD OVEST,I.C. BAROZZI BELTRAMI,MILANO,PRIMARIA VIA MILANO,VIA MILANO,9.1507748,45.3865186,207
MIEE8FD01C,SCUOLA PRIMARIA,NORD OVEST,IC MATTEI - DI VITTORIO,MILANO,PRIMARIA G. MONTI VIA MILANO,VIA MILANO,9.1507748,45.3865186,160
MIEE8FD02D,SCUOLA PRIMARIA,NORD OVEST,IC MATTEI - DI VITTORIO,MILANO,PRIMARIA E. BONTEMPI VIA BIZET,VIA BIZET 3 E 3B,9.3327749,45.5082772,430
MIEE8FD03E,SCUOLA PRIMARIA,NORD OVEST,IC MATTEI - DI VITTORIO,MILANO,PRIMARIA D'ACQUISTO V.TOGLIATTI,VIA TOGLIATTI 1,9.32796,45.50628,455
MIEE8FE018,SCUOLA PRIMARIA,NORD OVEST,ISTITUTO COMPRENSIVO DI BINASCO,MILANO,PRIMARIA A.FRANK,P.ZZA XXV APRILE 30/A,9.0972122,45.3279265,347
MIEE8FE029,SCUOLA PRIMARIA,NORD OVEST,ISTITUTO COMPRENSIVO DI BINASCO,MILANO,PRIMARIA DON BOSCO,PIAZZA DE GASPERI 10,9.0377342,45.3117959,126
MIEE8FF014,SCUOLA PRIMARIA,NORD OVEST,I.C. TOMMASO GROSSI,MILANO,PRIMARIA SANTE ZENNARO,VIA DALMAZIA 19-FRAZ. TERRAZZANO,9.0686148,45.5395662,95
MIEE8FF025,SCUOLA PRIMARIA,NORD OVEST,I.C. TOMMASO GROSSI,MILANO,PRIMARIA G. RODARI,VIA SARTIRANA-FRAZ. MAZZO,9.0702304,45.531449,289
MIEE8FF036,SCUOLA PRIMARIA,NORD OVEST,I.C. TOMMASO GROSSI,MILANO,PRIMARIA G.CASATI,VIA BUOZZI 17-FRAZ. PASSIRANA,9.0434825,45.5493698,106
MIEE8FG01X,SCUOLA PRIMARIA,NORD OVEST,IC VIALE LEGNANO,MILANO,PRIMARIA VIA BRESCIA,VIA BRESCIA 65,8.9353261,45.5544817,260
MIEE8FG021,SCUOLA PRIMARIA,NORD OVEST,IC VIALE LEGNANO,MILANO,"PRIMARIA ""FELILCE MUSAZZI""",VIA MASCAGNI 5,8.9606709,45.5666642,130
MIEE8FH01Q,SCUOLA PRIMARIA,NORD OVEST,IC VIA IV NOVEMBRE,MILANO,PRIMARIA A.MANZONI,VIA IV NOVEMBRE 23,8.9450412,45.5581298,386
MIEE8FH02R,SCUOLA PRIMARIA,NORD OVEST,IC VIA IV NOVEMBRE,MILANO,PRIMARIA E. TRAVAINI,VIA OLONA,8.9612203,45.5438922,285
MIEE8FJ011,SCUOLA PRIMARIA,NORD OVEST,IC TEODORO CROCI,MILANO,PRIMARIA DON MILANI,VIA PAISIELLO 41,9.1892694,45.5677738,263
MIEE8FK01R,SCUOLA PRIMARIA,NORD OVEST,I.C. VIA L. DA VINCI,MILANO,PRIMARIA VIA DON STURZO,VIA DON L. STURZO,9.0338289,45.4922303,120
MIEE8FK02T,SCUOLA PRIMARIA,NORD OVEST,I.C. VIA L. DA VINCI,MILANO,PRIMARIA DUCA DEGLI ABRUZZI,VIA VOLTA,9.012052,45.4856538,214
MIEE8FK03V,SCUOLA PRIMARIA,NORD OVEST,I.C. VIA L. DA VINCI,MILANO,PRIMARIA PLESSO MONTESSORI,VIA DON STURZO,9.0338289,45.4922303,98
MIEE8FL01L,SCUOLA PRIMARIA,NORD OVEST,I.C. VIA IV NOVEMBRE,MILANO,PRIMARIA DUGNANI,VIA 4 NOVEMBRE 3,9.0237083,45.5018598,331
MIEE8FL02N,SCUOLA PRIMARIA,NORD OVEST,I.C. VIA IV NOVEMBRE,MILANO,PRIMARIA VIA DON STURZO,VIA DON STURZO,9.0338289,45.4922303,121
MIEE8FM01C,SCUOLA PRIMARIA,NORD OVEST,I.C. VIALE LIGURIA,MILANO,PRIMARIA F.LLI CERVI,VIA F.LLI CERVI 90,9.4924494,45.5847445,340
MIEE8FN018,SCUOLA PRIMARIA,NORD OVEST,I.C. ANNA FRANK,MILANO,PRIMARIA ANNA FRANK,VIA CHIMINELLO2,9.0396439,45.5326439,302
MIEE8FN029,SCUOLA PRIMARIA,NORD OVEST,I.C. ANNA FRANK,MILANO,PRIMARIA G.MARCONI,VIA SAN GIORGIO,9.0450083,45.5269126,197
MIEE8FP01X,SCUOLA PRIMARIA,NORD OVEST,I.C. ERMANNO OLMI,MILANO,PRIMARIA VIA GUICCIARDI,VIA GUICCIARDI 1,9.173004327,45.50226309,398
MIEE8FP021,SCUOLA PRIMARIA,NORD OVEST,I.C. ERMANNO OLMI,MILANO,PRIMARIA VIA BODIO,VIA BODIO 22,9.1685925,45.497637,391
MIEE8FQ01Q,SCUOLA PRIMARIA,NORD OVEST,IC CARLO FONTANA,MILANO,"PRIMARIA S. CATERINA DA SIENA""",VIA S. CATERINA 4,8.8803054,45.4628193,414
MIEE8FQ02R,SCUOLA PRIMARIA,NORD OVEST,IC CARLO FONTANA,MILANO,PRIMARIA LEONARDO DA VINCI,VIA 26 APRILE,8.8814848,45.4359674,155
MIEE8FQ03T,SCUOLA PRIMARIA,NORD OVEST,IC CARLO FONTANA,MILANO,PRIMARIA GIUSEPPE VERDI,VIA BUOZZI,8.8716115,45.4314765,72
MIEE8FR01G,SCUOLA PRIMARIA,NORD OVEST,IC VIA PAPA GIOVANNI PAOLO II,MILANO,PRIMARIA PAPA GIOVANNI XXIII,P.ZZA F.LLI CERVI 1,8.8814531,45.4737495,168
MIEE8FR02L,SCUOLA PRIMARIA,NORD OVEST,IC VIA PAPA GIOVANNI PAOLO II,MILANO,PRIMARIA E. DE AMICIS,VIA PAPA GIOVANNI PAOLO II 2/4,8.8941904,45.4598275,219
MIEE8FR03N,SCUOLA PRIMARIA,NORD OVEST,IC VIA PAPA GIOVANNI PAOLO II,MILANO,PRIMARIA G. MOLLA BERETTA,VIA ALLA CHIESA 8,8.85031,45.45986,106
MIEE8FR04P,SCUOLA PRIMARIA,NORD OVEST,IC VIA PAPA GIOVANNI PAOLO II,MILANO,PRIMARIA C. LORENZINI,VIA ISONZO 57,8.86391,45.454441,70
MIEE8FS01R,SCUOLA PRIMARIA,NORD OVEST,I.C. VIA DELLA COMMENDA,MILANO,PRIMARIA C.PORTA-G.AGNESI,VIA QUADRONNO 32,9.1946835,45.454077,342
MIEE8FT01L,SCUOLA PRIMARIA,NORD OVEST,I.C. P.ZZA L. DA VINCI,MILANO,PRIMARIA LEONARDO DA VINCI,PIAZZA LEONARDO DA VINCI 2,9.2244285,45.477594,684
MIEE8FU01C,SCUOLA PRIMARIA,NORD OVEST,I.C. GUIDO GALLI,MILANO,PRIMARIA E. TOTI,VIA CIMA 15,9.190530925,45.50303042,90
MIEE8FU02D,SCUOLA PRIMARIA,NORD OVEST,I.C. GUIDO GALLI,MILANO,PRIMARIA BONETTI,VIA TAJANI 12,9.236833863,45.47256546,100
MIEE8FU03E,SCUOLA PRIMARIA,NORD OVEST,I.C. GUIDO GALLI,MILANO,PRIMARIA NOLLI ARQUATI,VIALE ROMAGNA 16/18,9.224118,45.470304,327
MIEE8FV018,SCUOLA PRIMARIA,NORD OVEST,I.C DI VIA PALMIERI,MILANO,PRIMARIA C. BATTISTI,VIA PALMIERI 24,9.178425,45.434826,233
MIEE8FV029,SCUOLA PRIMARIA,NORD OVEST,I.C DI VIA PALMIERI,MILANO,PRIMARIA C. PERONI,VIA SAN GIACOMO 1,9.173403,45.429408,276
MIEE8FW014,SCUOLA PRIMARIA,NORD OVEST,I.C. VIA ARCADIA,MILANO,PRIMARIA VIA DELL'ARCADIA,VIA DELL'ARCADIA 27,9.171855887,45.41607954,235
MIEE8FW025,SCUOLA PRIMARIA,NORD OVEST,I.C. VIA ARCADIA,MILANO,PRIMARIA VIA BARONI,VIA BARONI 73,9.152937336,45.4350208,209
MIEE8FW036,SCUOLA PRIMARIA,NORD OVEST,I.C. VIA ARCADIA,MILANO,PRIMARIA VIA FERABOLI,VIA FERABOLI 44,9.170199,45.414702,263
MIEE8FW047,SCUOLA PRIMARIA,NORD OVEST,I.C. VIA ARCADIA,MILANO,PRIMARIA PL. MONTESSORI VIA BARONI,VIA BARONI 73,9.1697916,45.405524,90
MIEE8FX01X,SCUOLA PRIMARIA,NORD OVEST,I.C. VIA MOISE' LORIA,MILANO,PRIMARIA G.OBERDAN E C.A.PORZI,VIA BERGOGNONE 2 /4,9.161667,45.456534,508
MIEE8FX021,SCUOLA PRIMARIA,NORD OVEST,I.C. VIA MOISE' LORIA,MILANO,PRIMARIA VIA DELLE FOPPETTE,VIA DELLE FOPPETTE 1,9.1559475,45.451296,186
MIEE8FY01Q,SCUOLA PRIMARIA,NORD OVEST,"I.C . ""NAZARIO SAURO""",MILANO,"PRIMARIA ""NAZARIO SAURO""",VIA VESPRI SICILIANI 75,9.142542,45.450486,375
MIEE8FZ01G,SCUOLA PRIMARIA,NORD OVEST,I.C. UMBERTO ECO,MILANO,PRIMARIA A.S.NOVARO C.FERRUCCI,PIAZZA SICILIA 2,9.153054,45.464832,889
MIEE8GD013,SCUOLA PRIMARIA,NORD OVEST,I.C. EZIO FRANCESCHINI,MILANO,PRIMARIA S. FEDERICI,VIA MAZZO 19,9.0506056,45.5307804,274
MIEE8GD024,SCUOLA PRIMARIA,NORD OVEST,I.C. EZIO FRANCESCHINI,MILANO,PRIMARIA E.FRANCESCHINI,VIA TEVERE 13,9.0481932,45.5208553,188
MIEE8GD035,SCUOLA PRIMARIA,NORD OVEST,I.C. EZIO FRANCESCHINI,MILANO,PRIMARIA FRONTINI,VIA VERBANIA,9.0308573,45.5153802,86
